num_vertices,edge_ratio,elapsed_time,weight,n_sol,n_oper
2,0.125,0.000273,0,2,4
2,0.25,0.000202,0,2,4
2,0.5,0.000165,0,2,4
2,0.75,0.00019,79,2,4
3,0.125,0.000211,0,3,6
3,0.25,0.000221,0,3,6
3,0.5,0.000168,86,3,6
3,0.75,0.000264,175,3,6
4,0.125,0.000185,0,4,8
4,0.25,0.000479,0,4,8
4,0.5,0.000357,138,4,8
4,0.75,0.000498,251,4,8
5,0.125,0.000297,0,5,10
5,0.25,0.000223,0,5,10
5,0.5,0.000224,235,5,10
5,0.75,0.000199,327,5,10
6,0.125,0.000374,0,6,12
6,0.25,0.00028,0,6,12
6,0.5,0.000671,258,6,12
6,0.75,0.000687,468,6,12
7,0.125,0.000367,69,7,14
7,0.25,0.000549,73,7,14
7,0.5,0.000315,277,7,14
7,0.75,0.000269,529,7,14
8,0.125,0.00025,53,8,16
8,0.25,0.000216,100,8,16
8,0.5,0.000477,381,8,16
8,0.75,0.000378,591,8,16
9,0.125,0.000268,95,9,18
9,0.25,0.000224,193,9,18
9,0.5,0.000299,753,9,18
9,0.75,0.000334,855,9,18
10,0.125,0.000422,176,10,20
10,0.25,0.000348,290,10,20
10,0.5,0.000321,604,10,20
10,0.75,0.000384,927,10,20
11,0.125,0.000262,229,11,22
11,0.25,0.00046,495,11,22
11,0.5,0.000555,1068,11,22
11,0.75,0.000469,1386,11,22
12,0.125,0.000291,378,12,24
12,0.25,0.000339,734,12,24
12,0.5,0.000549,1310,12,24
12,0.75,0.000905,1481,12,24
13,0.125,0.000506,436,13,26
13,0.25,0.000382,432,13,26
13,0.5,0.000492,1315,13,26
13,0.75,0.001448,1733,13,26
14,0.125,0.00048,484,14,28
14,0.25,0.000456,698,14,28
14,0.5,0.000702,1500,14,28
14,0.75,0.000703,1787,14,28
15,0.125,0.000426,517,15,30
15,0.25,0.000641,982,15,30
15,0.5,0.000711,1715,15,30
15,0.75,0.000704,2643,15,30
16,0.125,0.000452,576,16,32
16,0.25,0.001226,1066,16,32
16,0.5,0.000672,1929,16,32
16,0.75,0.000835,2944,16,32
17,0.125,0.000525,665,17,34
17,0.25,0.000549,1148,17,34
17,0.5,0.00082,2440,17,34
17,0.75,0.001406,2860,17,34
18,0.125,0.000866,607,18,36
18,0.25,0.000541,1323,18,36
18,0.5,0.001964,2517,18,36
18,0.75,0.001038,3094,18,36
19,0.125,0.00055,1006,19,38
19,0.25,0.001447,1380,19,38
19,0.5,0.001134,2676,19,38
19,0.75,0.001212,3297,19,38
20,0.125,0.000769,880,20,40
20,0.25,0.000817,1460,20,40
20,0.5,0.001704,2612,20,40
20,0.75,0.001361,3519,20,40
21,0.125,0.000562,904,21,42
21,0.25,0.001195,1370,21,42
21,0.5,0.001065,2983,21,42
21,0.75,0.001658,4276,21,42
22,0.125,0.000635,894,22,44
22,0.25,0.000737,1703,22,44
22,0.5,0.001423,3467,22,44
22,0.75,0.001629,5145,22,44
23,0.125,0.001347,974,23,46
23,0.25,0.000933,1786,23,46
23,0.5,0.001634,3643,23,46
23,0.75,0.001841,5170,23,46
24,0.125,0.001333,1081,24,48
24,0.25,0.001299,1688,24,48
24,0.5,0.002126,3856,24,48
24,0.75,0.001808,5434,24,48
25,0.125,0.000958,1480,25,50
25,0.25,0.001011,2652,25,50
25,0.5,0.00229,4511,25,50
25,0.75,0.00252,6265,25,50
26,0.125,0.000916,1579,26,52
26,0.25,0.001178,1992,26,52
26,0.5,0.003093,4399,26,52
26,0.75,0.002637,6750,26,52
27,0.125,0.001069,1622,27,54
27,0.25,0.003442,2791,27,54
27,0.5,0.00295,5499,27,54
27,0.75,0.003906,7092,27,54
28,0.125,0.001261,1992,28,56
28,0.25,0.001492,2659,28,56
28,0.5,0.002657,5563,28,56
28,0.75,0.00328,7694,28,56
29,0.125,0.001154,2059,29,58
29,0.25,0.003,2837,29,58
29,0.5,0.002736,6088,29,58
29,0.75,0.003656,8404,29,58
30,0.125,0.001092,2065,30,60
30,0.25,0.00159,3343,30,60
30,0.5,0.004127,6414,30,60
30,0.75,0.004352,9030,30,60
31,0.125,0.001302,2241,31,62
31,0.25,0.002358,3182,31,62
31,0.5,0.00274,6856,31,62
31,0.75,0.003836,9037,31,62
32,0.125,0.001225,2178,32,64
32,0.25,0.002698,3841,32,64
32,0.5,0.004929,7566,32,64
32,0.75,0.004325,10706,32,64
33,0.125,0.001392,2181,33,66
33,0.25,0.003031,4031,33,66
33,0.5,0.004202,8114,33,66
33,0.75,0.004574,10473,33,66
34,0.125,0.00224,3039,34,68
34,0.25,0.002336,4679,34,68
34,0.5,0.003941,8801,34,68
34,0.75,0.008092,11800,34,68
35,0.125,0.003493,2621,35,70
35,0.25,0.006524,4423,35,70
35,0.5,0.004826,8731,35,70
35,0.75,0.006218,11954,35,70
36,0.125,0.001817,2557,36,72
36,0.25,0.002812,3626,36,72
36,0.5,0.004288,9487,36,72
36,0.75,0.005692,13100,36,72
37,0.125,0.001774,3172,37,74
37,0.25,0.002747,5543,37,74
37,0.5,0.006366,10696,37,74
37,0.75,0.006228,13408,37,74
38,0.125,0.002048,3641,38,76
38,0.25,0.002553,5537,38,76
38,0.5,0.005555,10311,38,76
38,0.75,0.007357,13866,38,76
39,0.125,0.001919,3262,39,78
39,0.25,0.002833,6066,39,78
39,0.5,0.005152,11292,39,78
39,0.75,0.011892,15453,39,78
40,0.125,0.002576,3865,40,80
40,0.25,0.003591,6109,40,80
40,0.5,0.005691,11524,40,80
40,0.75,0.007123,16114,40,80
41,0.125,0.003413,4095,41,82
41,0.25,0.004049,6678,41,82
41,0.5,0.007017,12322,41,82
41,0.75,0.008943,17327,41,82
42,0.125,0.0054,4540,42,84
42,0.25,0.005116,6415,42,84
42,0.5,0.008859,12100,42,84
42,0.75,0.011811,17095,42,84
43,0.125,0.003219,4886,43,86
43,0.25,0.005077,7766,43,86
43,0.5,0.00776,12321,43,86
43,0.75,0.00987,17231,43,86
44,0.125,0.003012,4051,44,88
44,0.25,0.005179,7028,44,88
44,0.5,0.008025,12714,44,88
44,0.75,0.011638,19387,44,88
45,0.125,0.00291,3889,45,90
45,0.25,0.00619,7425,45,90
45,0.5,0.008199,15245,45,90
45,0.75,0.012205,20234,45,90
46,0.125,0.004186,4154,46,92
46,0.25,0.004204,7726,46,92
46,0.5,0.009871,14184,46,92
46,0.75,0.012371,19070,46,92
47,0.125,0.004243,4606,47,94
47,0.25,0.006514,8306,47,94
47,0.5,0.009647,14981,47,94
47,0.75,0.013527,22052,47,94
48,0.125,0.002966,5106,48,96
48,0.25,0.006361,9296,48,96
48,0.5,0.009551,15737,48,96
48,0.75,0.012262,22512,48,96
49,0.125,0.003382,4761,49,98
49,0.25,0.007479,8422,49,98
49,0.5,0.012533,17284,49,98
49,0.75,0.013433,22571,49,98
50,0.125,0.004126,4902,50,100
50,0.25,0.006529,8896,50,100
50,0.5,0.010006,16289,50,100
50,0.75,0.014745,24390,50,100
51,0.125,0.003968,5732,51,102
51,0.25,0.008407,10072,51,102
51,0.5,0.016075,18534,51,102
51,0.75,0.028952,24543,51,102
52,0.125,0.004466,6364,52,104
52,0.25,0.007041,10875,52,104
52,0.5,0.01577,17910,52,104
52,0.75,0.018356,26085,52,104
53,0.125,0.005266,6033,53,106
53,0.25,0.009852,10860,53,106
53,0.5,0.011144,19804,53,106
53,0.75,0.015919,28032,53,106
54,0.125,0.005048,6124,54,108
54,0.25,0.008938,10779,54,108
54,0.5,0.017244,19630,54,108
54,0.75,0.017497,28561,54,108
55,0.125,0.004367,5941,55,110
55,0.25,0.008556,12513,55,110
55,0.5,0.014472,21851,55,110
55,0.75,0.017806,30845,55,110
56,0.125,0.004799,6406,56,112
56,0.25,0.007991,12719,56,112
56,0.5,0.012913,22317,56,112
56,0.75,0.019545,30713,56,112
57,0.125,0.014166,7594,57,114
57,0.25,0.007762,13250,57,114
57,0.5,0.013921,22077,57,114
57,0.75,0.022103,31794,57,114
58,0.125,0.004957,6698,58,116
58,0.25,0.008209,13330,58,116
58,0.5,0.020568,21883,58,116
58,0.75,0.021797,33432,58,116
59,0.125,0.007231,7241,59,118
59,0.25,0.015646,12753,59,118
59,0.5,0.015884,24437,59,118
59,0.75,0.029173,33555,59,118
60,0.125,0.007411,8830,60,120
60,0.25,0.010378,13209,60,120
60,0.5,0.017972,25272,60,120
60,0.75,0.021976,36023,60,120
61,0.125,0.006379,7283,61,122
61,0.25,0.008952,14144,61,122
61,0.5,0.018419,25477,61,122
61,0.75,0.025687,36769,61,122
62,0.125,0.005675,7788,62,124
62,0.25,0.009065,15428,62,124
62,0.5,0.018401,26889,62,124
62,0.75,0.024002,36055,62,124
63,0.125,0.007603,9314,63,126
63,0.25,0.013278,14935,63,126
63,0.5,0.023282,26174,63,126
63,0.75,0.036758,38596,63,126
64,0.125,0.006638,8542,64,128
64,0.25,0.011932,14433,64,128
64,0.5,0.022695,28708,64,128
64,0.75,0.032974,40545,64,128
65,0.125,0.008009,8778,65,130
65,0.25,0.013243,15350,65,130
65,0.5,0.021613,28846,65,130
65,0.75,0.027846,41872,65,130
66,0.125,0.006898,9649,66,132
66,0.25,0.015509,16663,66,132
66,0.5,0.025911,30626,66,132
66,0.75,0.032343,44919,66,132
67,0.125,0.006868,9413,67,134
67,0.25,0.012419,17344,67,134
67,0.5,0.028179,31196,67,134
67,0.75,0.032658,42619,67,134
68,0.125,0.008755,9801,68,136
68,0.25,0.011162,16895,68,136
68,0.5,0.024903,32006,68,136
68,0.75,0.043985,44148,68,136
69,0.125,0.0094,10089,69,138
69,0.25,0.014264,16964,69,138
69,0.5,0.026069,32830,69,138
69,0.75,0.040544,47014,69,138
70,0.125,0.009051,10732,70,140
70,0.25,0.015446,18877,70,140
70,0.5,0.028186,32332,70,140
70,0.75,0.045202,50548,70,140
71,0.125,0.010907,10299,71,142
71,0.25,0.018592,19992,71,142
71,0.5,0.036568,33157,71,142
71,0.75,0.036349,50228,71,142
72,0.125,0.010221,11650,72,144
72,0.25,0.032232,19646,72,144
72,0.5,0.03135,33617,72,144
72,0.75,0.044601,51982,72,144
73,0.125,0.008756,10582,73,146
73,0.25,0.017527,21037,73,146
73,0.5,0.033881,37335,73,146
73,0.75,0.048618,52832,73,146
74,0.125,0.008678,11760,74,148
74,0.25,0.025255,21182,74,148
74,0.5,0.040575,38626,74,148
74,0.75,0.046955,54496,74,148
75,0.125,0.012271,12261,75,150
75,0.25,0.021621,21198,75,150
75,0.5,0.034138,36455,75,150
75,0.75,0.046824,54412,75,150
76,0.125,0.009255,12464,76,152
76,0.25,0.019334,22847,76,152
76,0.5,0.033615,38121,76,152
76,0.75,0.0446,56130,76,152
77,0.125,0.011035,11303,77,154
77,0.25,0.024371,21741,77,154
77,0.5,0.039498,40507,77,154
77,0.75,0.046203,57464,77,154
78,0.125,0.012912,12530,78,156
78,0.25,0.027013,22376,78,156
78,0.5,0.038922,39974,78,156
78,0.75,0.056916,57556,78,156
79,0.125,0.010441,12582,79,158
79,0.25,0.026428,23632,79,158
79,0.5,0.045424,41775,79,158
79,0.75,0.051579,63126,79,158
80,0.125,0.0145,12750,80,160
80,0.25,0.02532,23288,80,160
80,0.5,0.048326,42276,80,160
80,0.75,0.072371,62771,80,160
81,0.125,0.010818,12447,81,162
81,0.25,0.02408,25683,81,162
81,0.5,0.038793,44118,81,162
81,0.75,0.055992,65002,81,162
82,0.125,0.017411,12978,82,164
82,0.25,0.030966,24000,82,164
82,0.5,0.060693,45488,82,164
82,0.75,0.080606,66798,82,164
83,0.125,0.019237,12838,83,166
83,0.25,0.032508,24969,83,166
83,0.5,0.04884,44988,83,166
83,0.75,0.070855,68115,83,166
84,0.125,0.014112,13355,84,168
84,0.25,0.031099,26004,84,168
