num_vertices,edge_ratio,elapsed_time,weight,n_sol,n_oper
2,0.125,0.000252,0,0,1
2,0.25,0.000113,0,0,1
2,0.5,0.000151,0,0,1
2,0.75,0.000176,79,0,1
3,0.125,0.000126,0,0,1
3,0.25,0.000202,0,0,1
3,0.5,0.000268,86,1,7
3,0.75,0.000158,175,1,7
4,0.125,0.000109,0,0,1
4,0.25,0.000112,0,0,1
4,0.5,0.00015,138,2,15
4,0.75,0.000173,251,2,15
5,0.125,0.000111,0,0,1
5,0.25,0.000115,0,0,1
5,0.5,0.000206,235,3,25
5,0.75,0.00021,327,3,25
6,0.125,0.000122,0,0,1
6,0.25,0.000112,0,0,1
6,0.5,0.000203,258,4,37
6,0.75,0.000324,443,4,37
7,0.125,0.000233,69,5,51
7,0.25,0.000175,73,5,51
7,0.5,0.000198,299,5,51
7,0.75,0.000217,529,5,51
8,0.125,0.000327,53,6,67
8,0.25,0.000236,100,6,67
8,0.5,0.000269,409,6,67
8,0.75,0.000262,611,6,67
9,0.125,0.000186,95,7,85
9,0.25,0.000192,193,7,85
9,0.5,0.000522,753,7,85
9,0.75,0.000286,808,7,85
10,0.125,0.000568,176,8,105
10,0.25,0.000414,290,8,105
10,0.5,0.000351,694,8,105
10,0.75,0.00037,1177,8,105
11,0.125,0.000275,229,9,127
11,0.25,0.000234,522,9,127
11,0.5,0.000323,1195,9,127
11,0.75,0.000313,1220,9,127
12,0.125,0.000284,366,10,151
12,0.25,0.000341,760,10,151
12,0.5,0.000374,1289,10,151
12,0.75,0.00047,1600,10,151
13,0.125,0.000299,516,11,177
13,0.25,0.000266,586,11,177
13,0.5,0.000317,1263,11,177
13,0.75,0.000344,1746,11,177
14,0.125,0.000269,507,12,205
14,0.25,0.000307,762,12,205
14,0.5,0.000573,1742,12,205
14,0.75,0.000492,1979,12,205
15,0.125,0.000416,558,13,235
15,0.25,0.000337,944,13,235
15,0.5,0.00041,2112,13,235
15,0.75,0.000432,2717,13,235
16,0.125,0.000285,643,14,267
16,0.25,0.000382,1263,14,267
16,0.5,0.001181,2006,14,267
16,0.75,0.000547,2721,14,267
17,0.125,0.000324,683,15,301
17,0.25,0.000374,1245,15,301
17,0.5,0.000504,2365,15,301
17,0.75,0.000515,3022,15,301
18,0.125,0.000343,803,16,337
18,0.25,0.000391,1514,16,337
18,0.5,0.000907,2750,16,337
18,0.75,0.000656,3268,16,337
19,0.125,0.000437,1060,17,375
19,0.25,0.000398,1511,17,375
19,0.5,0.000509,2886,17,375
19,0.75,0.000635,3452,17,375
20,0.125,0.000788,977,18,415
20,0.25,0.000514,1623,18,415
20,0.5,0.000701,3273,18,415
20,0.75,0.000624,3606,18,415
21,0.125,0.000377,969,19,457
21,0.25,0.000428,1624,19,457
21,0.5,0.000663,2937,19,457
21,0.75,0.001211,4863,19,457
22,0.125,0.00086,1003,20,501
22,0.25,0.000552,1741,20,501
22,0.5,0.000661,3697,20,501
22,0.75,0.000739,5260,20,501
23,0.125,0.000458,1144,21,547
23,0.25,0.000602,1938,21,547
23,0.5,0.000855,3820,21,547
23,0.75,0.000891,5361,21,547
24,0.125,0.00047,1225,22,595
24,0.25,0.000635,2092,22,595
24,0.5,0.001313,4246,22,595
24,0.75,0.001043,5134,22,595
25,0.125,0.000738,1638,23,645
25,0.25,0.000585,2637,23,645
25,0.5,0.000899,4635,23,645
25,0.75,0.001647,6619,23,645
26,0.125,0.000572,1805,24,697
26,0.25,0.000622,2436,24,697
26,0.5,0.000933,4452,24,697
26,0.75,0.001559,6780,24,697
27,0.125,0.000725,1699,25,751
27,0.25,0.000741,2705,25,751
27,0.5,0.000883,5788,25,751
27,0.75,0.001425,7369,25,751
28,0.125,0.000615,2095,26,807
28,0.25,0.000737,3078,26,807
28,0.5,0.000942,5849,26,807
28,0.75,0.001206,7823,26,807
29,0.125,0.001075,2035,27,865
29,0.25,0.000875,3010,27,865
29,0.5,0.001081,6674,27,865
29,0.75,0.001358,8336,27,865
30,0.125,0.000737,2178,28,925
30,0.25,0.001589,3590,28,925
30,0.5,0.001035,6633,28,925
30,0.75,0.001295,9312,28,925
31,0.125,0.001278,2489,29,987
31,0.25,0.001006,3788,29,987
31,0.5,0.001078,6906,29,987
31,0.75,0.0015,9890,29,987
32,0.125,0.000815,2609,30,1051
32,0.25,0.000907,4515,30,1051
32,0.5,0.001103,8289,30,1051
