num_vertices,edge_ratio,elapsed_time,weight,n_sol,n_oper,n_iter
2,0.125,0.0004572999896481633,0,1,0,2
2,0.25,0.0004133000038564205,0,1,0,2
2,0.5,0.0003479000006336719,0,1,0,2
2,0.75,0.0006518999871332198,79,1,1,2
3,0.125,0.00043149999692104757,0,1,0,4
3,0.25,0.0004973000031895936,0,1,0,4
3,0.5,0.0005910000181756914,86,2,1,4
3,0.75,0.0008098999969661236,175,1,1,4
4,0.125,0.000613199983490631,0,3,0,8
4,0.25,0.001177300000563264,0,3,0,8
4,0.5,0.0006504000048153102,138,2,1,8
4,0.75,0.0013081000070087612,251,3,1,8
5,0.125,0.0007169999880716205,0,2,0,16
5,0.25,0.001531499990960583,0,2,0,16
5,0.5,0.0010264999873470515,235,5,1,16
5,0.75,0.0018918999994639307,303,8,2,16
6,0.125,0.0014921999827492982,0,4,0,32
6,0.25,0.0014703000197187066,0,4,0,32
6,0.5,0.0022280999983195215,258,7,2,32
6,0.75,0.002397100004600361,468,10,4,32
7,0.125,0.0042264000221621245,69,3,1,64
7,0.25,0.0046651000156998634,73,3,1,64
7,0.5,0.006284600007347763,299,22,2,64
7,0.75,0.0062787999922875315,529,11,2,64
8,0.125,0.015105500002391636,53,8,1,128
8,0.25,0.009485599992331117,100,16,2,128
8,0.5,0.016257000010227785,409,24,3,128
8,0.75,0.024042400007601827,611,37,2,128
9,0.125,0.017790700017940253,95,16,1,256
9,0.25,0.03314650000538677,193,16,1,256
9,0.5,0.026201700005913153,836,22,2,256
9,0.75,0.03808070000377484,855,34,4,256
10,0.125,0.041668099991511554,176,24,1,512
10,0.25,0.06526810000650585,290,20,2,512
10,0.5,0.08820989998639561,722,78,5,512
10,0.75,0.11136840001563542,1177,98,5,512
11,0.125,0.0863058999821078,229,32,1,1024
11,0.25,0.12007060000905767,522,93,3,1024
11,0.5,0.23894939999445342,1406,143,9,1024
11,0.75,0.23685220000334084,1606,134,3,1024
12,0.125,0.2802578000118956,378,20,3,2048
12,0.25,0.2957458999881055,812,87,6,2048
12,0.5,0.48915589999523945,1365,324,5,2048
12,0.75,0.48420880001503974,1777,203,6,2048
13,0.125,0.45536670001456514,516,99,3,4096
13,0.25,0.6216915999830235,586,117,1,4096
13,0.5,0.9278804000059608,1580,467,4,4096
13,0.75,1.2123870000068564,1754,269,6,4096
14,0.125,1.0934792000043672,562,94,3,8192
14,0.25,2.0007152000034694,777,466,5,7274
14,0.5,2.0011417999921832,1802,893,3,6103
14,0.75,2.0011520000116434,2066,823,5,4298
15,0.125,2.0008306999807246,558,130,4,10237
15,0.25,2.0014977999962866,1043,450,6,5799
15,0.5,2.0023938000085764,2248,418,5,4714
15,0.75,2.0019063999934588,2916,952,5,3960
16,0.125,2.000980399985565,643,494,2,7595
16,0.25,2.0011180999863427,1263,1337,5,7640
16,0.5,2.00187979999464,2265,1850,5,4854
16,0.75,2.0022925999946892,3142,1498,7,2670
17,0.125,2.001241999998456,722,1443,6,9189
17,0.25,2.001686500007054,1318,2007,6,6612
17,0.5,2.0021065000037197,2688,1665,6,3430
17,0.75,2.001545700011775,3574,1625,6,2637
18,0.125,2.001063300005626,803,926,3,5784
18,0.25,2.0014348000113387,1582,2677,6,5916
18,0.5,2.006395899981726,2827,2129,8,2819
18,0.75,2.00157880000188,3649,2254,8,2661
19,0.125,2.001384200004395,1060,2991,3,9100
19,0.25,2.002643199986778,1594,3964,5,5988
19,0.5,2.0014226000057533,3297,2741,4,4710
19,0.75,2.0029685999907088,3985,2149,5,2733
20,0.125,2.0013059999910183,1036,2315,6,9736
20,0.25,2.002835799998138,1623,4038,9,5318
20,0.5,2.0112746999948286,3496,2335,3,2522
20,0.75,2.0144044999906328,3927,1171,6,1219
21,0.125,2.003548700013198,1045,2842,6,3357
21,0.25,2.011320200021146,1624,2244,9,2603
21,0.5,2.001985999988392,3307,1953,11,2051
21,0.75,2.0057099999976344,4896,1503,4,1565
22,0.125,2.0047906000108924,995,2904,6,3517
22,0.25,2.00233349998598,1884,4085,4,4827
22,0.5,2.0089071999827866,3708,2224,6,2363
22,0.75,2.007474199985154,5688,1627,7,1659
23,0.125,2.022767800022848,1174,1552,3,1786
23,0.25,2.002224700001534,2031,4608,10,5054
23,0.5,2.0066558999824338,4011,2492,7,2601
23,0.75,2.002754899993306,5789,784,10,798
24,0.125,2.002250500023365,1214,3311,6,3622
24,0.25,2.0121558999817353,2122,2182,5,2238
24,0.5,2.0038626000168733,4557,2608,6,2652
24,0.75,2.0054483999847434,6146,1741,6,1764
25,0.125,2.0026180999993812,1707,2167,6,2264
25,0.25,2.002865999995265,2710,4837,9,4945
25,0.5,2.00382549999631,4957,885,9,886
25,0.75,2.0028017000004184,6960,2070,6,2078
26,0.125,2.007268599991221,1815,4215,8,4294
26,0.25,2.0032359000178985,2496,1569,10,1576
26,0.5,2.0048206000064965,5252,2721,9,2735
26,0.75,2.005489300005138,7218,535,7,535
27,0.125,2.0027055999962613,1736,5814,13,6253
27,0.25,2.0047474000020884,3164,2885,9,2951
27,0.5,2.0098194999736734,5822,930,4,930
27,0.75,2.002154999994673,7789,1800,4,1803
28,0.125,2.0082062000001315,2221,1803,8,1807
28,0.25,2.0032758000015747,3179,4097,10,4108
28,0.5,2.0051209999946877,6300,1445,12,1445
28,0.75,2.010775400005514,8218,355,7,355
29,0.125,2.002812399994582,2172,4901,7,5429
29,0.25,2.002883999986807,3036,1405,8,1405
29,0.5,2.0061971999821253,6825,2170,6,2171
29,0.75,2.002253299986478,9264,1261,8,1261
30,0.125,2.0048618000000715,2275,2397,11,2406
30,0.25,2.0024490999931004,3873,3773,12,3781
30,0.5,2.00501439999789,7286,675,7,675
30,0.75,2.0040598000050522,9996,1609,5,1609
31,0.125,2.005950799997663,2480,3591,10,3746
31,0.25,2.002158299990697,4132,1446,4,1446
31,0.5,2.002792600018438,7641,1974,5,1974
31,0.75,2.0053819000022486,10405,470,5,470
32,0.125,2.002805099997204,2624,4397,5,4847
32,0.25,2.005220199993346,4732,2388,9,2389
