num_vertices,edge_ratio,elapsed_time,weight,n_sol,n_oper,n_iter
2,0.125,0.00036700000055134296,0,2,0,2
2,0.25,0.00037330001941882074,0,2,0,2
2,0.5,0.000610699993558228,0,1,0,2
2,0.75,0.00035769998794421554,79,2,1,2
3,0.125,0.00034749999758787453,0,3,0,4
3,0.25,0.0005010000022593886,0,3,0,4
3,0.5,0.0006311000033747405,86,3,1,4
3,0.75,0.000378099997760728,175,2,2,4
4,0.125,0.000621199986198917,0,7,0,8
4,0.25,0.00043310000910423696,0,4,0,8
4,0.5,0.0004427000239957124,138,4,2,8
4,0.75,0.0007832999981474131,251,5,3,8
5,0.125,0.0006246999837458134,0,11,0,16
5,0.25,0.0007383999763987958,0,10,0,16
5,0.5,0.000843599991640076,235,11,2,16
5,0.75,0.0011101000127382576,327,11,2,16
6,0.125,0.0011624000035226345,0,22,0,32
6,0.25,0.0013284999877214432,0,23,0,32
6,0.5,0.001262800011318177,258,18,3,32
6,0.75,0.0008457000076305121,468,19,4,32
7,0.125,0.001863000012235716,69,39,1,64
7,0.25,0.0026388000114820898,73,46,1,64
7,0.5,0.00144160000490956,299,41,6,64
7,0.75,0.001753299991833046,529,40,3,64
8,0.125,0.00182379997568205,53,79,1,128
8,0.25,0.00264910000259988,100,84,2,128
8,0.5,0.0029792000132147223,409,84,4,128
8,0.75,0.00507739998283796,611,81,5,128
9,0.125,0.006400700018275529,95,158,1,256
9,0.25,0.003882300021359697,193,151,4,256
9,0.5,0.0045720999769400805,836,156,7,256
9,0.75,0.010395499994046986,866,168,4,256
10,0.125,0.008928600000217557,176,328,3,512
10,0.25,0.010016099986387417,290,313,7,512
10,0.5,0.01803700000164099,722,337,4,512
10,0.75,0.012929499993333593,1133,315,4,512
11,0.125,0.016430399991804734,229,638,4,1024
11,0.25,0.01913920001243241,522,649,6,1024
11,0.5,0.029558700014604256,1339,653,6,1024
11,0.75,0.06230920000234619,1592,649,7,1024
12,0.125,0.050501399993663654,378,1279,3,2048
12,0.25,0.04986199998529628,812,1297,6,2048
12,0.5,0.07799620000878349,1315,1293,8,2048
12,0.75,0.07987720001256093,1777,1306,9,2048
13,0.125,0.08704189999843948,516,2554,4,4096
