num_vertices,edge_ratio,elapsed_time,weight,n_sol,n_oper,n_iter
2,0.125,0.0004776999994646758,0,0,1,0
2,0.25,0.0003617999900598079,0,0,1,0
2,0.5,0.00037020002491772175,0,0,1,0
2,0.75,0.0007406999939121306,79,0,1,0
3,0.125,0.00039109998033382,0,0,1,0
3,0.25,0.0005773000011686236,0,0,1,0
3,0.5,0.0006083000043872744,86,1,7,1
3,0.75,0.0004977000062353909,175,1,7,1
4,0.125,0.0006797000241931528,0,0,1,0
4,0.25,0.0002815999905578792,0,0,1,0
4,0.5,0.0004697999975178391,138,2,15,2
4,0.75,0.0004388999950606376,251,2,15,2
5,0.125,0.0004096000047866255,0,0,1,0
5,0.25,0.002437799994368106,0,0,1,0
5,0.5,0.0005344000237528235,235,3,25,3
5,0.75,0.004482000018469989,327,3,25,3
6,0.125,0.00039450000622309744,0,0,1,0
6,0.25,0.0004921000218018889,0,0,1,0
6,0.5,0.0005537999968510121,258,4,37,4
6,0.75,0.0005905999860260636,443,4,37,4
7,0.125,0.0006256999913603067,69,5,51,5
7,0.25,0.00045380002120509744,73,5,51,5
7,0.5,0.0005936000088695437,299,5,51,5
7,0.75,0.0005529999907594174,529,5,51,5
8,0.125,0.0006968000088818371,53,6,67,6
8,0.25,0.0006091000104788691,100,6,67,6
8,0.5,0.000676800002111122,409,6,67,6
8,0.75,0.001033000007737428,611,6,67,6
9,0.125,0.0006195000023581088,95,7,85,7
9,0.25,0.0005639999872073531,193,7,85,7
9,0.5,0.0005804999964311719,753,7,85,7
9,0.75,0.0005887000006623566,808,7,85,7
10,0.125,0.0005659999733325094,176,8,105,8
10,0.25,0.0006857000116724521,290,8,105,8
10,0.5,0.0009436000254936516,662,8,105,8
10,0.75,0.0010175999777857214,1177,8,105,8
11,0.125,0.0005607000202871859,229,9,127,9
11,0.25,0.0004997000214643776,522,9,127,9
11,0.5,0.0008781000215094537,1195,9,127,9
11,0.75,0.0013109999999869615,1220,9,127,9
12,0.125,0.0015464999887626618,366,10,151,10
12,0.25,0.000762699986808002,707,10,151,10
12,0.5,0.0009448999771848321,1365,10,151,10
12,0.75,0.0008105000015348196,1600,10,151,10
13,0.125,0.0006464000034611672,516,11,177,11
13,0.25,0.0007389999809674919,586,11,177,11
13,0.5,0.0006591999845113605,1263,11,177,11
13,0.75,0.0007622000121045858,1746,11,177,11
14,0.125,0.0009421999857295305,562,12,205,12
14,0.25,0.0006898000137880445,762,12,205,12
14,0.5,0.001010999985737726,1742,12,205,12
14,0.75,0.001668699987931177,1979,12,205,12
15,0.125,0.0007050000131130219,558,13,235,13
15,0.25,0.0010069000127259642,944,13,235,13
15,0.5,0.007643400022061542,2112,13,235,13
15,0.75,0.0009710000013001263,2717,13,235,13
16,0.125,0.0007492000004276633,643,14,267,14
16,0.25,0.0011431000020820647,1263,14,267,14
16,0.5,0.0008592999947723001,2006,14,267,14
16,0.75,0.000995899987174198,2721,14,267,14
17,0.125,0.0007124000112526119,695,15,301,15
17,0.25,0.0007836000004317611,1245,15,301,15
17,0.5,0.001077399996574968,2264,15,301,15
17,0.75,0.0014250999956857413,3022,15,301,15
18,0.125,0.0007625999860465527,803,16,337,16
18,0.25,0.0017244000046048313,1553,16,337,16
18,0.5,0.0009382000134792179,2750,16,337,16
18,0.75,0.0011063999845646322,3268,16,337,16
19,0.125,0.0008659000159241259,1035,17,375,17
19,0.25,0.0008607000054325908,1531,17,375,17
19,0.5,0.0015532999823335558,2951,17,375,17
19,0.75,0.0021195999870542437,3778,17,375,17
20,0.125,0.000697199982823804,1036,18,415,18
20,0.25,0.0007999000081326813,1620,18,415,18
20,0.5,0.002285199996549636,3273,18,415,18
