num_vertices,edge_ratio,elapsed_time,weight,n_sol,n_oper
2,0.125,0.000291,0,3,3
2,0.25,0.000292,0,3,3
2,0.5,0.000311,0,3,3
2,0.75,0.000183,79,3,3
3,0.125,0.000197,0,7,7
3,0.25,0.000168,0,7,7
3,0.5,0.000221,86,7,7
3,0.75,0.000217,175,7,7
4,0.125,0.000258,0,15,15
4,0.25,0.000395,0,15,15
4,0.5,0.000306,138,15,15
4,0.75,0.000254,251,15,15
5,0.125,0.000689,0,31,31
5,0.25,0.000734,0,31,31
5,0.5,0.000361,235,31,31
5,0.75,0.000364,327,31,31
6,0.125,0.000494,0,63,63
6,0.25,0.000511,0,63,63
6,0.5,0.000608,258,63,63
6,0.75,0.000781,468,63,63
7,0.125,0.001312,69,127,127
7,0.25,0.001138,73,127,127
7,0.5,0.00135,299,127,127
7,0.75,0.00158,529,127,127
8,0.125,0.002653,53,255,255
8,0.25,0.002019,100,255,255
8,0.5,0.002635,409,255,255
8,0.75,0.003344,611,255,255
9,0.125,0.004546,95,511,511
9,0.25,0.005127,193,511,511
9,0.5,0.006119,836,511,511
9,0.75,0.007362,866,511,511
10,0.125,0.009521,176,1023,1023
10,0.25,0.01032,290,1023,1023
10,0.5,0.013968,763,1023,1023
10,0.75,0.016245,1177,1023,1023
11,0.125,0.019017,229,2047,2047
11,0.25,0.024525,522,2047,2047
11,0.5,0.034008,1406,2047,2047
11,0.75,0.03576,1606,2047,2047
12,0.125,0.046635,378,4095,4095
12,0.25,0.049114,812,4095,4095
12,0.5,0.073486,1365,4095,4095
12,0.75,0.079254,1777,4095,4095
13,0.125,0.104369,516,8191,8191
13,0.25,0.121081,586,8191,8191
13,0.5,0.159287,1580,8191,8191
13,0.75,0.20115,1776,8191,8191
14,0.125,0.195767,562,16383,16383
14,0.25,0.252332,777,16383,16383
14,0.5,0.400922,1802,16383,16383
14,0.75,0.455313,2066,16383,16383
15,0.125,0.383647,558,32767,32767
15,0.25,0.491943,1043,32767,32767
15,0.5,0.893694,2248,32767,32767
15,0.75,0.945476,2916,32767,32767
16,0.125,0.928713,643,65535,65535
16,0.25,1.015076,1263,65535,65535
16,0.5,1.591894,2265,65535,65535
16,0.75,2.076482,3142,65535,65535
17,0.125,1.909403,722,131071,131071
17,0.25,2.225756,1318,131071,131071
17,0.5,3.525676,2688,131071,131071
17,0.75,4.60231,3574,131071,131071
18,0.125,3.803058,803,262143,262143
18,0.25,5.288932,1621,262143,262143
18,0.5,8.181391,2827,262143,262143
18,0.75,10.043145,3649,262143,262143
19,0.125,8.728435,1060,524287,524287
19,0.25,10.697029,1595,524287,524287
19,0.5,16.622986,3297,524287,524287
19,0.75,22.481329,3985,524287,524287
20,0.125,17.460603,1036,1048575,1048575
20,0.25,22.995574,1650,1048575,1048575
20,0.5,37.095627,3496,1048575,1048575
20,0.75,52.015077,3968,1048575,1048575
