num_vertices,edge_ratio,elapsed_time,weight,n_sol,n_oper
2,0.125,0.000281,0,2,4
2,0.25,0.000246,0,2,4
2,0.5,0.000169,0,2,4
2,0.75,0.000168,79,2,4
3,0.125,0.000163,0,3,6
3,0.25,0.000171,0,3,6
3,0.5,0.000189,86,3,6
3,0.75,0.000239,175,3,6
4,0.125,0.000146,0,4,8
4,0.25,0.000246,0,4,8
4,0.5,0.00029,138,4,8
4,0.75,0.00022,251,4,8
5,0.125,0.000228,0,5,10
5,0.25,0.000253,0,5,10
5,0.5,0.000277,235,5,10
5,0.75,0.000187,327,5,10
6,0.125,0.000325,0,6,12
6,0.25,0.000247,0,6,12
6,0.5,0.000226,258,6,12
6,0.75,0.00038,443,6,12
7,0.125,0.000464,69,7,14
7,0.25,0.00043,73,7,14
7,0.5,0.000246,299,7,14
7,0.75,0.000239,494,7,14
8,0.125,0.000233,53,8,16
8,0.25,0.000205,98,8,16
8,0.5,0.000316,363,8,16
8,0.75,0.000329,591,8,16
9,0.125,0.000331,95,9,18
9,0.25,0.000284,152,9,18
9,0.5,0.000299,753,9,18
9,0.75,0.00029,804,9,18
10,0.125,0.000311,176,10,20
10,0.25,0.000308,290,10,20
10,0.5,0.000302,542,10,20
10,0.75,0.000375,814,10,20
11,0.125,0.000244,192,11,22
11,0.25,0.000264,351,11,22
11,0.5,0.000479,1182,11,22
11,0.75,0.000812,1390,11,22
12,0.125,0.000277,352,12,24
12,0.25,0.000307,738,12,24
12,0.5,0.000392,1239,12,24
12,0.75,0.000964,1388,12,24
13,0.125,0.000446,398,13,26
13,0.25,0.000302,545,13,26
13,0.5,0.000459,1388,13,26
13,0.75,0.001625,1424,13,26
14,0.125,0.000449,482,14,28
14,0.25,0.000436,642,14,28
14,0.5,0.000854,1660,14,28
14,0.75,0.000704,1731,14,28
15,0.125,0.000381,536,15,30
15,0.25,0.000529,947,15,30
15,0.5,0.000694,1705,15,30
15,0.75,0.000777,2064,15,30
16,0.125,0.000388,528,16,32
16,0.25,0.001106,1051,16,32
16,0.5,0.000647,2019,16,32
16,0.75,0.000804,2555,16,32
17,0.125,0.000615,611,17,34
17,0.25,0.000601,1151,17,34
17,0.5,0.000656,2280,17,34
17,0.75,0.000833,3106,17,34
18,0.125,0.000466,706,18,36
18,0.25,0.00084,1297,18,36
18,0.5,0.000808,2383,18,36
18,0.75,0.001184,3070,18,36
19,0.125,0.00051,1035,19,38
19,0.25,0.000582,1477,19,38
19,0.5,0.000919,2717,19,38
19,0.75,0.001004,3499,19,38
20,0.125,0.001348,899,20,40
20,0.25,0.000805,1452,20,40
20,0.5,0.000918,3063,20,40
20,0.75,0.001351,3366,20,40
21,0.125,0.000908,882,21,42
21,0.25,0.000899,1356,21,42
21,0.5,0.00131,2908,21,42
21,0.75,0.001296,4248,21,42
22,0.125,0.00122,947,22,44
22,0.25,0.000697,1825,22,44
22,0.5,0.001286,3717,22,44
22,0.75,0.001758,5131,22,44
23,0.125,0.000652,1056,23,46
23,0.25,0.001628,1681,23,46
23,0.5,0.001147,3549,23,46
23,0.75,0.00251,5305,23,46
24,0.125,0.00089,996,24,48
24,0.25,0.001567,1594,24,48
24,0.5,0.001339,3857,24,48
24,0.75,0.002187,5150,24,48
25,0.125,0.001096,1702,25,50
25,0.25,0.000983,2161,25,50
25,0.5,0.001449,4139,25,50
25,0.75,0.003128,6374,25,50
26,0.125,0.000915,1557,26,52
26,0.25,0.00105,1935,26,52
26,0.5,0.002135,4501,26,52
26,0.75,0.00218,6984,26,52
27,0.125,0.001142,1586,27,54
27,0.25,0.001132,2282,27,54
27,0.5,0.00201,4938,27,54
27,0.75,0.002918,6864,27,54
28,0.125,0.001394,1801,28,56
28,0.25,0.001754,2663,28,56
28,0.5,0.002202,5179,28,56
28,0.75,0.003298,6887,28,56
29,0.125,0.001185,1945,29,58
29,0.25,0.001293,2683,29,58
29,0.5,0.002279,5786,29,58
29,0.75,0.002967,8005,29,58
30,0.125,0.001301,1971,30,60
30,0.25,0.001308,3412,30,60
30,0.5,0.002308,6038,30,60
30,0.75,0.003331,8393,30,60
31,0.125,0.001541,2020,31,62
31,0.25,0.001904,3492,31,62
31,0.5,0.002488,6045,31,62
31,0.75,0.00328,9412,31,62
32,0.125,0.001051,2340,32,64
32,0.25,0.001628,4483,32,64
32,0.5,0.003445,7122,32,64
32,0.75,0.005203,10146,32,64
33,0.125,0.001477,2362,33,66
33,0.25,0.001644,3930,33,66
33,0.5,0.003038,8280,33,66
33,0.75,0.007009,11130,33,66
34,0.125,0.002416,2639,34,68
34,0.25,0.001956,4376,34,68
34,0.5,0.003874,9332,34,68
34,0.75,0.005992,11469,34,68
35,0.125,0.001786,2788,35,70
35,0.25,0.002083,4937,35,70
35,0.5,0.004986,8873,35,70
35,0.75,0.005418,12318,35,70
36,0.125,0.003109,2914,36,72
36,0.25,0.003324,4264,36,72
36,0.5,0.005763,9473,36,72
36,0.75,0.006751,12968,36,72
37,0.125,0.00157,3503,37,74
37,0.25,0.002143,5660,37,74
37,0.5,0.004062,10260,37,74
37,0.75,0.005981,13331,37,74
38,0.125,0.00157,3658,38,76
38,0.25,0.002665,6023,38,76
38,0.5,0.005617,10385,38,76
38,0.75,0.028065,14610,38,76
39,0.125,0.001857,3544,39,78
39,0.25,0.003672,6113,39,78
39,0.5,0.0045,11484,39,78
39,0.75,0.023491,15680,39,78
40,0.125,0.006338,3251,40,80
40,0.25,0.003988,6455,40,80
40,0.5,0.005488,11009,40,80
40,0.75,0.007606,15668,40,80
41,0.125,0.002672,3721,41,82
41,0.25,0.002998,6009,41,82
41,0.5,0.009688,11535,41,82
41,0.75,0.009566,16034,41,82
42,0.125,0.002118,4555,42,84
42,0.25,0.006238,6526,42,84
42,0.5,0.008883,12817,42,84
42,0.75,0.01236,16615,42,84
43,0.125,0.004248,4356,43,86
43,0.25,0.004788,8282,43,86
